# clusterName       ra        dec       l         b         r50     nbstars pmra      pmdec     par     d05       d16       dmode     d84       d95       Rgc       distance_Kharchenko logt_Kharchenko rc_Kharchenko rt_Kharchenko FeH_Kharchenko	FeH_synth
  ASCC_101          288.399   36.369    68.028    11.608    0.372   75     0.934     1.288     2.488   396.4     396.8     397.3     397.9     398.2     8202.3    363.0         8.62          1.06          4.84          ""           	0.07724125
  ASCC_105          295.548   27.366    62.825    2.063     0.648   127    1.464     -1.635    1.783   550.5     551.0     551.8     552.5     553.0     8103.0    494.0         7.91          1.49          4.29          ""           	0.0884125
  ASCC_107          297.164   21.987    58.904    -1.901    0.174   59     -0.155    -5.156    1.109   873.6     875.4     878.5     881.4     883.5     7922.3    672.0         8.045         0.55          3.61          ""           	0.1
  ASCC_108          298.306   39.349    74.378    6.074     0.537   230    -0.519    -1.69     0.838   1150.5    1151.9    1154.0    1156.1    1157.5    8106.7    1039.0        8.425         0.82          3.86          ""           	0.08799625
  ASCC_10           51.87     34.981    155.723   -17.77    0.558   71     -1.737    -1.368    1.459   666.0     668.4     672.0     675.6     678.1     8927.2    700.0         8.717         1.46          8.95          ""           	-0.00431
  ASCC_110          300.742   33.528    70.411    1.378     0.203   70     0.271     -3.132    0.497   1883.4    1890.9    1902.2    1913.5    1921.0    7908.1    852.0         8.55          1.86          5.52          ""           	0.1
  ASCC_111          302.891   37.515    74.714    2.056     0.537   156    -1.15     -1.524    1.166   834.5     835.4     836.9     838.4     839.5     8159.5    1580.0        6.65          10.2          17.28         ""           	0.08205625
  ASCC_112          304.093   52.061    87.432    9.29      0.262   115    -0.145    -1.242    1.52    643.9     644.5     645.4     646.3     647.0     8335.8    569.0         8.15          0.82          3.45          ""           	0.0622225
  ASCC_113          317.933   38.638    82.877    -6.589    0.529   196    0.8       -3.679    1.762   557.2     557.6     558.2     558.8     559.2     8289.5    501.0         7.93          1.79          4.41          ""           	0.06743125
  ASCC_114          324.99    53.997    97.082    1.028     0.216   150    -3.716    -3.421    1.066   910.1     911.4     913.2     915.0     916.4     8501.0    590.0         7.75          0.38          2.92          ""           	0.0436375
  ASCC_115          329.28    51.558    97.528    -2.504    0.25    39     -0.549    -0.543    1.311   742.0     743.7     746.0     748.6     750.2     8469.9    750.0         8.35          2.35          4.49          ""           	0.04713625
  ASCC_11           53.056    44.856    150.546   -9.224    0.312   276    0.926     -3.03     1.141   852.0     853.1     854.5     856.1     857.0     9083.9    837.0         8.345         4.57          8.32          ""           	-0.02193875
  ASCC_123          340.299   53.986    104.434   -4.141    1.294   55     12.093    -1.407    4.262   232.6     232.8     233.1     233.3     233.5     8401.0    250.0         8.191         2.83          4.56          ""           	0.0548875
  ASCC_124          341.924   46.331    101.704   -11.378   0.362   106    0.354     -1.577    1.386   704.1     705.1     706.5     707.9     708.8     8507.6    700.0         8.195         1.19          4.93          ""           	0.042895
  ASCC_127          347.205   64.974    112.349   4.232     0.627   122    7.474     -1.745    2.633   374.9     375.2     375.6     376.0     376.4     8489.5    400.0         7.82          3.34          6.21          ""           	0.04493125
  ASCC_128          349.949   54.435    109.77    -6.078    0.513   72     1.236     0.186     1.509   647.9     648.8     650.3     651.7     652.7     8580.3    900.0         8.454         0.74          5.35          ""           	0.03471625
  ASCC_12           72.4      41.744    162.986   -1.893    0.303   162    -0.634    -2.794    0.941   1024.5    1027.2    1030.7    1034.4    1037.1    9329.9    600.0         8.63          0.6           3.67          ""           	-0.04961375
  ASCC_13           78.255    44.417    163.502   3.122     0.609   110    -0.473    -1.743    0.898   1070.7    1073.5    1078.2    1082.9    1086.3    9377.3    800.0         7.71          4.2           28.57         ""           	-0.05494625
  ASCC_16           81.198    1.655     201.139   -18.373   0.376   226    1.355     -0.015    2.838   348.1     348.4     348.8     349.2     349.5     8649.6    397.0         7.0           3.24          6.15          ""           	0.02692
  ASCC_19           81.982    -1.987    204.914   -19.438   0.605   188    1.152     -1.234    2.768   356.8     357.1     357.6     358.0     358.3     8647.0    314.0         7.5           2.28          3.74          ""           	0.0272125
  ASCC_21           82.179    3.527     199.938   -16.598   0.41    131    1.404     -0.632    2.866   344.3     344.8     345.5     346.2     346.7     8652.0    379.0         7.11          4.11          6.8           ""           	0.02665
  ASCC_22           93.656    0.637     208.136   -7.889    0.214   63     -3.025    -4.346    1.232   787.5     789.7     793.3     796.7     799.1     9040.5    771.0         8.455         0.39          6.09          ""           	-0.01705625
  ASCC_23           95.047    46.71     167.472   14.416    0.319   129    1.098     -0.598    1.594   613.9     614.8     616.3     617.8     618.8     8923.6    600.0         8.485         0.6           6.28          ""           	-0.003905
  ASCC_29           103.571   -1.67     214.743   -0.128    0.137   54     -1.008    -1.019    0.944   1016.7    1020.8    1027.2    1033.9    1038.4    9202.7    826.0         8.06          1.01          4.78          ""           	-0.03530375
  ASCC_30           104.271   -6.23     219.119   -1.587    0.27    59     -1.595    -0.171    0.897   1071.1    1074.8    1080.4    1086.0    1090.0    9203.1    814.0         8.245         0.53          4.44          ""           	-0.03534875
  ASCC_32           105.714   -26.512   237.976   -9.433    0.656   259    -3.307    3.477     1.23    792.9     793.6     794.6     795.4     796.1     8780.8    767.0         8.215         0.57          9.01          ""           	0.01216
  ASCC_41           116.674   0.137     219.206   12.333    0.679   127    0.646     -3.99     3.352   295.2     295.4     295.8     296.1     296.3     8565.8    397.0         8.7           0.3           2.46          ""           	0.0363475
