#  0.1000   0.2800   0.0000    sfrf0 19   zfea1 18  =vg, vs, g0,sfrfile,nsfr,zfefile,nzfe
#  0.9627   1.1135  = y, yox 
#  t       sfr      zfe      dg       dstar    star    s        g        zmean    zfe*g    dgox     gox      zox      zmeanox
  0.0021   1.2080   0.2710   2.9926   1.2080   0.0025   0.0025   0.0062   0.2710   0.0017   0.9759   0.0020   0.6129   0.6129
  0.0042   1.2140   0.2874   2.6511   1.1718   0.0050   0.0050   0.0118   0.2792   0.0034   0.9185   0.0039   0.6265   0.6197
  0.0063   1.2190   0.2992   2.4591   1.1529   0.0074   0.0076   0.0169   0.2859   0.0051   0.8839   0.0058   0.6360   0.6252
  0.0083   1.2240   0.3090   2.3158   1.1381   0.0097   0.0101   0.0217   0.2917   0.0068   0.8575   0.0076   0.6438   0.6299
  0.0104   1.2290   0.3176   2.2021   1.1291   0.0121   0.0127   0.0263   0.2969   0.0085   0.8361   0.0093   0.6504   0.6340
  0.0125   1.2350   0.3253   2.1074   1.1240   0.0144   0.0153   0.0307   0.3017   0.0101   0.8185   0.0110   0.6563   0.6378
  0.0146   1.2400   0.3325   2.0243   1.1173   0.0168   0.0179   0.0349   0.3062   0.0117   0.8024   0.0127   0.6617   0.6412
  0.0167   1.2450   0.3391   1.9526   1.1152   0.0191   0.0204   0.0390   0.3103   0.0133   0.7884   0.0143   0.6666   0.6444
  0.0188   1.2500   0.3454   1.8874   1.1126   0.0214   0.0231   0.0429   0.3143   0.0149   0.7755   0.0160   0.6712   0.6475
  0.0208   1.2550   0.3513   1.8292   1.1068   0.0237   0.0257   0.0467   0.3181   0.0165   0.7640   0.0175   0.6755   0.6503
  0.0229   1.2600   0.3570   1.7756   1.1073   0.0260   0.0283   0.0504   0.3217   0.0181   0.7532   0.0191   0.6796   0.6530
  0.0250   1.2650   0.3624   1.7290   1.1057   0.0283   0.0309   0.0540   0.3252   0.0197   0.7437   0.0207   0.6834   0.6556
  0.0271   1.2690   0.3676   1.6831   1.1018   0.0306   0.0336   0.0575   0.3285   0.0213   0.7340   0.0222   0.6871   0.6581
  0.0292   1.2740   0.3726   1.6400   1.1004   0.0329   0.0362   0.0609   0.3317   0.0229   0.7253   0.0237   0.6906   0.6605
  0.0313   1.2790   0.3775   1.6007   1.1006   0.0352   0.0389   0.0643   0.3349   0.0244   0.7172   0.0252   0.6940   0.6628
  0.0333   1.2840   0.3822   1.5695   1.0987   0.0375   0.0416   0.0675   0.3379   0.0260   0.7105   0.0267   0.6972   0.6650
  0.0354   1.2880   0.3867   1.5322   1.0991   0.0398   0.0442   0.0707   0.3409   0.0275   0.7026   0.0281   0.7003   0.6671
  0.0375   1.2930   0.3912   1.4987   1.0987   0.0421   0.0469   0.0739   0.3438   0.0291   0.6956   0.0296   0.7033   0.6692
  0.0396   1.2970   0.3955   1.4712   1.0984   0.0443   0.0496   0.0769   0.3466   0.0306   0.6894   0.0310   0.7062   0.6712
  0.0417   1.3020   0.3997   1.4431   1.0962   0.0466   0.0524   0.0799   0.3493   0.0321   0.6835   0.0324   0.7090   0.6732
  0.0438   1.3060   0.4038   1.4157   1.0964   0.0489   0.0551   0.0829   0.3520   0.0336   0.6774   0.0339   0.7117   0.6751
  0.0458   1.3100   0.4078   1.3854   1.0964   0.0512   0.0578   0.0858   0.3547   0.0351   0.6709   0.0353   0.7144   0.6769
  0.0479   1.3150   0.4118   1.3629   1.0972   0.0535   0.0605   0.0886   0.3572   0.0367   0.6659   0.0366   0.7170   0.6788
  0.0500   1.3190   0.4156   1.3412   1.0971   0.0558   0.0633   0.0914   0.3598   0.0382   0.6609   0.0380   0.7195   0.6805
  0.0521   1.3230   0.4194   1.3157   1.0968   0.0581   0.0660   0.0941   0.3623   0.0397   0.6553   0.0394   0.7219   0.6823
  0.0542   1.3270   0.4231   1.2969   1.0966   0.0603   0.0688   0.0968   0.3647   0.0411   0.6508   0.0407   0.7243   0.6839
  0.0563   1.3310   0.4267   1.2743   1.0962   0.0626   0.0716   0.0995   0.3671   0.0426   0.6458   0.0421   0.7266   0.6856
  0.0583   1.3350   0.4303   1.2525   1.0976   0.0649   0.0744   0.1021   0.3695   0.0441   0.6409   0.0434   0.7289   0.6872
  0.0604   1.3390   0.4338   1.2320   1.0977   0.0672   0.0772   0.1047   0.3718   0.0456   0.6363   0.0447   0.7311   0.6888
  0.0625   1.3430   0.4373   1.2124   1.0975   0.0695   0.0800   0.1072   0.3741   0.0471   0.6318   0.0461   0.7333   0.6904
  0.0646   1.3470   0.4407   1.1998   1.0974   0.0718   0.0828   0.1097   0.3763   0.0485   0.6285   0.0474   0.7355   0.6919
  0.0667   1.3510   0.4440   1.1824   1.0971   0.0741   0.0856   0.1122   0.3786   0.0500   0.6245   0.0487   0.7375   0.6934
